"id","serie","number","title"
"29269","Jules Verne's ","2"," 20.000 Mijlen Onder Zee"
"29270","Michel Vaillant ","56"," De Man Aan De Top"
"29271","Strijd Classics ","11126"," De Eeuwige Verliezer"
"29272","Stripschrift ","415"," Stripschrift 415"
"29273","Stripschrift ","322"," Nummer 322"
"29274","Eppo ","1976","29"
"29275","Robbedoes Weekblad ","1971","1724"
"29276","Oorlog "," Mini271 "," De Dood Route"
"29277","Donald Duck ","1956","14"
"29278","Strip Mix "," B01 "," Strip Mix 1 (1987)"
"29279","Dierenriem ","9"," De Reis Van De Boogschutter"
"29280","Lucky Luke "," B03 "," De Man Van Washington"
"29281","Donald Duck ","2005","39"
"29282","Robbedoes Weekblad ","1979","2128"
"29283","Kuifje Weekblad ","1957","50"
"29284","Aram Van De Eilanden ","1"," Aram Van De Eilanden"
"29285","De Koene Ridder ","4"," De Misthoorn"
"29286","Tex Willer ","126"," De Cubaanse Bende"
"29287","Trigi� ","21"," Het Geheime Wapen"
"29288","Suske En Wiske ","39"," De Gouden Cirkel (1960)"
"29289","Sjors ","1963","34"
"29290","Donald Duck ","1964","17"
"29291","Rik Ringers ","74"," Dodelijke Puzzel"
"29292","Suske En Wiske ","167"," De Zingende Kaars"
"29293","Donald Duck ","37"," Als Zandloper"
"29294","Bird ","2"," Het Masker"
"29295","Roodbaard ","28"," De Strijd Om Schildpadeiland"
"29296","Grote Vampier ","1"," Amor Maakt Amok"
"29297","Sjors ","1939","27"
"29298","Akim Held Van De Jungle "," C114 "," De Banneling Op De Duivelsrots"
"29299","Superman Classics ","120"," In Glas Gevangen!"
"29300","Bonanza "," A08 "," In Levensgevaar Door Een Verdwaalde Kogel"
"29301","Prins Valiant (Tijdschrift) ","37"," Deel 37"
"29302","Aria ","32"," De Nieuwe Duivel"
"29303","XIII ","21"," Het Lokaas"
"29304","Death Note ","4"," Liefde"
"29305","Suske En Wiske Weekblad ","2000","29"
"29306","Korak De Zoon Van Tarzan ","41"," De Juwelen Van Karkan"
"29307","Red Sonja ","6"," Het Bloed Van De Azuurvogel"
"29308","Kuifje Weekblad ","1966","47"
"29309","Robbedoes Weekblad ","1986","2526"
"29310","He Pao ","3"," De Purperen Mist"
"29311","Witzend ","1971","4"
"29312","Robbedoes Weekblad ","1997","3067"
"29313","Robbedoes En Kwabbernoot ","13"," De Bezoeker Uit De Oertijd"
"29314","Robbedoes Weekblad ","2000","3229"
"29315","Robbedoes Weekblad ","1971","1759"
"29316","Donald Duck Pocket S3 ","5"," Indiana Goofy"
"29317","Attila... Mijn Geliefde ","6"," Rome Zien En Sterven"
"29318","Samson & Gert Krant ","100"," Nummer 100"
"29319","Robbedoes Weekblad ","2001","3310"
"29320","TV2000 ","1968","34"
"29321","Asterix ","35"," Asterix Bij De Picten"
"29322","Eppo ","1979","19"
"29323","De Tempelier ","1"," De Onthullingen Van De Ridder"
"29324","Buck Danny ","29"," Operatie Mercury"
"29325","Sjors ","1961","28"
"29327","Bessy ","59"," De Vallei der Eekhoorns (1965) (Andere scan)"
"29328","Sjors ","1958","51"
"29329","Donald Duck ","1976","6"
"29330","Donald Duck ","1979","24"
"29331","De Avonturen Van Kapitein Rob ","5"," 24.000 Mijlen Oceaanrace (1947)"
"29332","De Stripspeciaalzaak ","36"," Nummer 36"
"29333","Robbedoes Weekblad ","2001","3287"
"29334","Avatar De Legende Van Aang ","2"," De Belofte Boek 2"
"29335","Sjors En Sjimmie Stripblad ","1992","6"
"29336","SjoSji Extra ","1998","12"
"29337","Suske En Wiske HQ ","321"," Het IJzeren Duel"
"29338","Bob Morane ","43"," De Oorlog In De Pacific Is Afgelast II"
"29339","Lucky Luke "," A25 "," De Verloofde Van Lucky Luke"
"29340","Sjors En Sjimmie "," B04 "," De Zilte Zeezeilerij + De Geheimzinnige Fles"
"29341","De Vier Verdedigers ","47"," De Toorts Wordt Woest!"
"29342","Robbedoes Weekblad ","1993","2894"
"29343","Donald Duck ","1997","8"
"29344","Robbedoes Weekblad ","1974","1887"
"29345","Eppo ","1983","39"
"29346","Alter Ego ","6"," Darius"
"29347","Donald Duck ","1988","4"
"29348","Vivo Helden Serie ","9"," Dr. Jekyll En Mr. Hyde"
"29349","Tibor, Zoon Van Het Oerwoud "," A38 "," De Reddende Dressuur"
"29350","Alf ","17"," De Verloren Zoon"
"29351","Jommeke ","24"," De Verloren Zoon (Kleur)"
"29352","Het Jaar Van De Olifant "," A01 "," Integraal 1 tm 8"
"29353","Suske En Wiske ","173"," Het Drijvende Dorp"
"29354","Wip En Woep ","1"," Wip En Woep Gaan Van Start"
"29355","Kuifje Weekblad ","1964","31"
"29356","Donald Duck ","1972","2"
"29357","Tarzan (Classics) ","122"," De Strijd Om De Kopermijn"
"29358","Penny Plus ","2001","7"
"29359","Tibor, Zoon Van Het Oerwoud ","137"," Vallen Voor Kleine Apen"
"29360","Sjors ","1959","52"
"29361","Robbedoes Weekblad ","1944","247"
"29362","Het Contact ","1"," Het Contact"
"29363","Eppo Wordt Vervolgd ","1987","53"
"29364","Tarzan (Junior Press) "," SA09 "," Atoomstad + De Fakkelmannen"
"29365","Nestor Burma ","8"," De Zon Komt Op Achter Het Louvre"
"29366","Fix En Fox ","1966"," 16 (Mist blz 15 tm 18)"
"29367","Donald Duck ","1955","17"
"29368","Dennis (Semic Press) "," F21 "," Helemaal Leeg"
"29369","Donald Duck ","1953","15"
"29370","Sheriff Classics ","17"," Kit Carson En De Zwartvoet Indianen"
"29371","Vrouwen In 't Wit ","5"," Gezonde Ziekte"
"29372","De Technovaders ","4"," Halkattraz, De Ster Van De Beulen"
"29373","Zwarte Reeks ","149"," Hilda Ontvlucht"
"29374","Donald Duck ","1964","2"
"29375","Suske En Wiske ","308"," De Gamegoeroe"
"29376","De Heren Van Agartha ","2"," Het Orakel"
"29377","Donald Duck ","1963","38"
"29378","Pony Club ","187"," Nummer 187"
"29379","Vrouwen In 't Wit ","25"," Scheurbuik"
"29380","Elfquest ","54"," De Kentering"
"29381","Donald Duck ","1967","36"
"29382","Robbedoes Weekblad ","1987","2582"
"29383","Suske En Wiske Weekblad ","1995","21"
"29384","Sigurd "," A44 "," Zwaard Tegen Hoorn"
"29385","Meneer Edouard ","1"," Kriebels In Je Lijf"
"29386","Luitenant Blueberry ","17"," Angelface"
"29387","Donald Duck ","1987","12"
"29388","Donald Duck ","1964","51"
"29389","Robbedoes Weekblad ","1999","3176"
"29390","Debbie Parade Album ","15"," De Reddende Engel"
"29391","Losstaande Albums Van Peter Pontiac ","1"," Requiem Fortissimo"
"29392","Suske En Wiske Weekblad ","1996","1"
"29393","Jan, Jans En De Kinderen ","51"," Deel 51"
"29394","Strijd Classics ","11096"," Een Japanse Boeman"
"29395","Robbedoes Weekblad ","1978","2101"
"29396","Donald Duck Extra Avonturenomnibus ","9"," Nummer 09"
"29397","De Avonturen Van Nero En Co "," H29 "," De Vliegende Handschoen"
"29398","Kuifje Weekblad ","1971","29"
"29399","Sjors ","1964","37"
"29400","Opwindende Gebeurtenissen (Altuna Playboystrip) ","8"," Dag Dokter En Andere Verhalen"
"29401","Robert En Bertrand ","18"," De Rode Kaproen"
