"id","serie","number","title"
"0","Tom & Jerry (De Vrijbuiter) "," A064 "," De Muizenvanger"
"1","Thomas Pips "," C03 "," De Spekschieters"
"2","Robbedoes Weekblad ","1991","2752"
"3","Eppo ","1980","35"
"4","Fanfarax ","0"," In Marseille (Taptoe)"
"5","Donald Duck ","2001","14"
"6","Zonneland ","1956","26"
"7","Elfen ","6"," De Missie Van De Blauwe Elfen"
"8","Donald Duck ","1964","49"
"9","De Wondersloffen Van Sjakie ","31"," Golden Goal"
"10","Mondria Cartoonreeks ","0"," Lekkerbekken Humor"
"11","Gus ","2"," Mooie Schurk"
"12","Geheime Oorlogen II ","6"," Tegen Al Het Kwaad"
"13","Korak De Zoon Van Tarzan ","51"," Een Reusachtig Feest"
"14","Pep ","1967","10"
"15","Akim Held Van De Jungle "," K35 "," Vlucht In Het Verderf"
"16","Victoria ","208"," Het Zeemansgraf"
"17","Godfried Van Bouillon ","3"," De Zwarte Drakkar"
"18","Sheriff ","112"," De Genadeloze Oplichter"
"19","Bugs Bunny & Co "," Jaargang 01 "," Deel 07"
"20","Falk ","21"," De Oplossing Van Het Raadsel (1964)"
"21","Diversen ","0"," 100 Pagina's Dick"
"22","Murena ","3"," Een Volmaakte Moeder"
"23","Kuifje Weekblad ","1975","39"
"24","Tina ","2016","22"
"25","Essef ","7"," Essef 07"
"26","Giuseppe Bergman ","4"," Dromen Misschien, De Indische Avonturen Van Giuseppe Bergman"
"27","Pep ","1966","5"
"28","Donald Duck ","1990","49"
"29","Robbedoes Weekblad ","1971"," 1756 Reuzenposter"
"30","Stedenstrip ","8"," De Vlam Van Rotterdam"
"31","Donald Duck ","1999","26"
"32","Xoco ","2"," O Heer Die Voor Ons Gevild Werd"
"33","Suske En Wiske ","154"," Rikke En Wiske In Chocowakije"
"34","Merlijn (Merlin) ","8"," Oorlog Bij Dageraad"
"35","Tarzan (Classics) ","246"," De Woeste Sneeuwduivels"
"36","Noortje ","2"," Streng Verboden Te Lezen!"
"37","Batman Classics ","122"," De Joker In...De Lachende Vissen!"
"38","Kuifje Weekblad ","1986","33"
"39","Bonanza "," A06 "," Wie Waagt Die Wint"
"40","Kuifje Weekblad ","1958","38"
"41","Spiderwoman ","16"," Straf & Genade"
"42","Donald Duck ","1973","51"
"43","Robbedoes Weekblad ","1992","2826"
"44","Kuifje Weekblad ","1963","35"
"45","Akim Held Van De Jungle ","36"," Bitta Grijpt In"
"46","Zonneland ","1958","38"
"47","Opaal ","7"," Tanden Van Steen"
"48","Sjors En Sjimmie ","20"," Als Journalisten"
"49","De Rode Ridder (Kleur) ","161"," Catacomben"
"50","Geharrebar ","3"," Barbies"
"51","Senmoet De Egyptenaar ","2"," Deel 02"
"52","Snoesje ","11"," Snoesje En De Kulgude"
"53","Robbedoes Weekblad ","2000","3221"
"54","Donald Duck Extra "," 2006 12 "," De Grote Zalaman"
"55","Pol "," P07 "," Pol Als Bergbeklimmer (Andere scan)"
"56","Appleseed ","1"," Appleseed 01"
"57","Bob Morane "," D03 "," Het Zwaard Van De Paladijn"
"58","De Rose Panter "," A021 "," De Rose Panter Nr 21"
"59","Ivanov's Beeldroman (Tijdschrift) ","863"," Een Heel Gewoon Meisje"
"60","Robbedoes Weekblad ","1948","428"
"61","De Witte Ridder (Witte Ruiter) ","2"," De Magische Drank (Andere scan)"
"62","Donald Duck ","1977","50"
"63","Robbedoes Weekblad ","1996","3027"
"64","Suske En Wiske Weekblad ","1996","10"
"65","De Avonturen Van Urbanus ","67"," De Vergeten Willy"
"66","Lasso ","197"," Cherokee Bill"
"67","De Dwaas Van De Koning ","5"," Het Masker En De Pen"
"68","Suske En Wiske ","268"," De Koeiencommissie"
"69","Victoria ","204"," Schiet Hem Neer!!!"
"70","De Stamgasten ","37"," Uit Hun Dak"
"71","De Onschuldige Schuldigen ","1"," Het Lek"
"72","Robbedoes Weekblad ","1998","3118"
"73","Donald Duck ","1982","13"
"74","De Avonturen Van Kapitein Rob ","56"," Wapens Voor De Rio Florida (1961)"
"75","Tarzan (Classics) ","132"," Het Geheim Van De Grote Robijn"
"76","Eppo Wordt Vervolgd ","1985","19"
"77","Erotische Vertellingen ","38"," De Geile Draak"
"78","De Pioniers Van De Nieuwe Wereld ","9"," De Brandende Rivier"
"79","Donald Duck Extra "," 2013 03 "," Strijd Tegen De Verveling"
"80","Donald Duck ","1972","29"
"81","Losstaande Albums Van Peter Nuyten ","1"," Auguria"
"82","Sjors ","1968","22"
"83","Toen Ik Nog Baas Van De Wereld Was ","1"," Toen Ik Nog Baas Van De Wereld Was"
"84","Robbedoes Weekblad ","1959","1092"
"85","Biebel ","3"," De Biebelsporten"
"86","Suske En Wiske Winterboek ","2"," Winterboek 1974"
"87","Paling En Ko ","27"," Paniek In De Zoo"
"88","Robbedoes Weekblad ","1990","2739"
"89","Agent 212 ","13"," Boven De Pet Van De Wet"
"90","Ducktales ","3"," De Kroonjuwelen Kraak"
"91","Donald Duck ","1959","10"
"92","Donald Duck Pocket S2 ","4"," Fantomerik Tegen De Dolle Fantomina"
"93","Rik Ringers "," S05 "," Wie Heeft Het Gouden Kuifje Gestolen"
"94","Kuifje Weekblad ","1961","26"
"95","Losstaande Albums Van Derib ","4"," Avontuur Van Een Strip"
"96","Donald Duck ","1953","29"
"97","Donald Duck ","1969","23"
"98","Sjors ","1966","31"
"99","Kit Carson ","75"," De Vergiftigde Pasteien"
"100","Donald Duck Extra "," 2000 03 "," De Schat Van De Hollander"
"101","TV2000 ","1968","35"
"102","De Blauwbloezen ","22"," Blauwen En Vrouwen"
"103","Sam ","3"," De Knokenkoffer"
"104","Kuifje Weekblad ","1972","7"
"105","Toenga "," P03 "," Jacht Op De Oeros"
"106","DirkJan ","12"," DirkJan 12"
"107","Losstaande Albums Van John Kennis ","1"," De Sprinkgermanen Plaag ... En De Stoute Dingen Die Toontje Deed"
"108","D.N.Angel ","4"," Deel 04"
"109","Donald Duck ","2014","40"
"110","Bielzenblues ","1"," Vrienden"
"111","Donald Duck ","1993","9"
"112","Robbedoes Weekblad ","1953","718"
"113","Korak De Zoon Van Tarzan ","3"," Medicijn Voor Isilo"
"114","Donald Duck ","1995","19"
"115","Kronieken Van De Zwarte Maan ","12"," De Hellepoort"
"116","Robbedoes Weekblad ","1959"," 1103 (Vlaams)"
"117","Jommeke "," Z00 "," Jommeke Doet Het Weer! (2011)"
"118","Illustrated Classics ","205"," De Eerste Punische Oorlog"
"119","Kuifje Weekblad ","1970","46"
"120","Luc Orient ","2"," De Bevroren Zombies"
"121","SjoSji Extra ","1994","24"
"122","TV2000 ","1968","29"
"123","Kuifje Weekblad ","1961","35"
"124","Bob De Moor Reeks ","1"," De Lustige Kapoentjes 1"
"125","Flor En Toosje ","1"," Flor En Toosje"
"126","De Grappen Van Lambik "," S04 "," De Lambik Files"
"127","Tex Willer ","92"," De Dochter Van De Draak Gevangen!"
"128","Suske En Wiske Weekblad ","2003","52"
"129","Donald Duck ","1984","36"
"130","Lasso ","359"," 1000 Dollar Dood Of Levend"
"131","Donald Duck Extra "," 2010 07 "," Donalds Plaag"
"132","De Rode Ridder (Kleur) ","83"," Het Spook"
"133","Asterix ","20"," Asterix Op Corsica"
"134","Suske En Wiske Weekblad ","2003","28"
"135","Met Langteen En Schommelbuik Voorwaarts ","11"," De Grote Luchtreis"
"136","Roze Bottel ","6"," Een Vogel Vloog Verloren"
"137","Rahan "," C PEP10 "," De Tovenaar Van De Volle Maan"
"138","Tina ","1975","7"
"139","De Avonturen Van Donald Duck ","29"," De Grappigste Avonturen Van Donald Duck Nr 29"
"140","Pep ","1970","8"
"141","De Jonge Jaren Van Blueberry ","21"," Het Konvooi Van De Ballingen"
"142","Pep ","1964","44"
"143","C�dric ","7"," Opa Voelt Nattigheid"
"144","Robbedoes Weekblad ","2004","3443"
"145","Robbedoes Weekblad ","1999","3189"
"146","Appie Happie ","6"," Het Modderballet"
"147","Suske En Wiske Weekblad ","1999","24"
"148","Laurel En Hardy "," A12 "," De Wichelroedeloper"
"149","Amoras ","1"," Suske"
"150","Daan Durf ","1"," De Man Van Nergens"
"151","Imago Mundi ","3"," De 25ste Rune"
"152","Kuifje Weekblad ","1954","48"
"153","Robbedoes Weekblad ","2000","3223"
"154","Donald Duck ","1969","1"
"155","Robbedoes Weekblad ","1952","665"
"156","Donald Duck ","1990","46"
"157","Lasso ","198"," Butch Cassidy"
"158","Yiu ","2"," De Belofte"
"159","De Fantastische Avonturen Van Edgar Poe ","3"," De Rode Dood"
"160","Brommy & Tommy ","6"," Vakantie In Itali�"
"161","Zwarte Humor ","1"," Sommigen Houden Van Zwart"
"162","Witzend ","1969","1"
"163","Donald Duck ","2014","11"
"164","Fix En Fox ","1961","28"
"165","Kuifje Weekblad ","1948","7"
"166","Victoria ","95"," Het Ruige Werk"
"167","De Rose Panter ","9"," Flaters Bij De Vleet!"
"168","Batman Magazine ","2"," Poesie Mauw, Kom Eens Gauw"
"169","Donald Duck ","1989","36"
"170","Appie Happie ","3"," Tegen De Katoenplukkers"
"171","Prins Valiant (Tijdschrift) ","10"," Deel 10"
"172","Pep ","1967","44"
"173","Donald Duck ","2006","31"
"174","De Blauwbloezen ","31"," Drummer Boy"
"175","Robbedoes Weekblad ","1993","2885"
"176","Peter Parker, De Spectaculaire Spiderman ","46"," De Ooggetuige"
"177","Arvandor ","3"," Karra Helesh (Andere scan)"
"178","F.C. De Kampioenen ","39"," De Vliegende Reporter"
"179","Met Goofy De Geschiedenis In ","1"," Leonardo Da Vinci"
"180","Pep ","1963","52"
"181","Stripschrift ","223"," Nummer 223"
"182","Donald Duck Snaterlachen ","2"," Snaterlachen Met Oom Dagobert"
"183","Laurel En Hardy "," F10 "," Nummer 10"
"184","Ernie Pike "," A04 "," Deel 04"
"185","Sjors ","1963","39"
"186","Carthago ","2"," Challanger Deep (Andere scan)"
"187","Rawhide Kid "," B17 "," De Bange Sheriff"
"188","Lucky Luke "," A16 "," De Zingende Draad"
"189","Sam Lawry ","4"," ... En Jij Koos Voor De Naam Karin"
"190","Donald Duck ","1967","16"
"191","Pony Club ","170"," Nummer 170 (ic)"
"192","Zilverpijl ","5"," De Zingende Waterval"
"193","Bakelandt ","1"," De Bloedwet (2)"
"194","De Almanak "," A02 "," Deel 2"
"195","Robbedoes Weekblad ","1953","696"
"196","Robbedoes Weekblad ","1986","2542"
"197","Rubine ","6"," America"
"198","Corto Maltese "," D04 "," Cara�bische Suites"
"199","Stripschrift ","299"," Nummer 299"
"200","Sherlock Holmes ","8"," De Oude Russische Dame"
"201","Robbedoes Weekblad ","1955","803"
"202","Suske En Wiske Weekblad ","1997","14"
"203","Zozolala ","24"," Nummer 024"
"204","Doorzon ","0"," Doortje Doorzons Liefdeslessen In De Praktijk"
"205","Donald Duck ","1958","20"
"206","Archie, De Man Van Staal "," W05 "," Opstand In Zevila"
"207","Suske En Wiske Weekblad ","2002","5"
"208","De Machtige Thor "," A03 "," Zij Wandelen Als Goden (Bewerkt)"
"209","Pep ","1967","33"
"210","MAD ","98"," Nummer 098"
"211","TV2000 ","1968","45"
"212","Piloot Storm "," V21 "," Pioneers Van Het Heelal"
"213","Illustrated Classics ","173"," Het Beleg Van Quebec"
"214","Robbedoes Weekblad ","1994","2944"
"215","Donald Duck ","1971","32"
"216","Gen 13 ","9"," Kijk, De Wereld Gaat Sterven"
"217","Ravian ","12"," De Banvloek Van Hypsis"
"218","Sjors ","1955","7"
"219","Donald Duck ","2015","29"
"220","De Katamarom ","2"," De Tovenaar Van De Grote Beer"
"221","Donald Duck ","1970","8"
"222","Nils Holgersson "," SP01 "," Met De Wilde Ganzen Naar Lapland"
"223","Jacula ","99"," De Zoon Van Pavlov + Vampierenorgasme"
"224","Jeremiah ","34"," Jungle City"
"225","Victoria ","438"," Het Grote Geheim"
"226","Sjors ","1966","1"
"227","Arretje Nof ","3"," De Draak En De Chinese Prinses"
"228","Zonneland ","1953","14"
"229","Apenplaneet ","2"," De Verboden Zone"
"230","Rob Van De Rovers ","7"," Kogels Voor Rob"
"231","Pep ","1971","38"
"232","De Avonturen Van Nero En Co ","16"," Mama Kali (1969)"
"233","Asterix "," S08 "," De Wereld Van Asterix De Galli�r"
"234","Bud Broadway ","1"," De Weg naar Java"
"235","De Technovaders ","8"," De Beloofde Melkweg"
"236","Dubbelmasker ","2"," De Mier"
"237","Jerom ","41"," Sigaren Voor De Sjeik"
"238","Super Muis ","1"," De Avonturen Van Super Muis"
"239","Isabel ","11"," De Grote Bonbon"
"240","Star Wars "," P2014 ","3"
"241","Donald Duck Extra "," 2001 12 "," De Speelgoeddief"
"242","Wordt Vervolgd ","36"," Nummer Zesendertig"
"243","De Getekende ","1"," De Wraak Van Hutgin"
"244","Pechvogel ","2"," Pechvogel En Het Monster Van Loch Ness"
"245","Superman (Baldakijn) ","88"," Superman Redt De Aarde (Deel 2) + World's Finest"
"246","Robbedoes Weekblad ","1948","438"
"247","Apostata ","1"," De Purperen Vloek"
"248","Eric De Noorman ","39"," Het Loon Der Hebzucht"
"249","Donald Duck ","1958","22"
"250","Robert En Bertrand ","10"," De Kwade Hand"
"251","Betoverd Veneti� ","2"," Het Geheim Van Kamer 14"
"252","Karl May ","59"," Manuello"
"253","Donald Duck ","1978","19"
"254","Comanche ","11"," De Roofdieren"
"255","Donald Duck ","1966","30"
"256","Dating For Geeks ","2"," Sequel!"
"257","Y�ch ","2"," Deel 02"
"258","Donald Duck ","2006","12"
"259","Eppo ","1981","24"
"260","Zwarte Reeks ","46"," De Exotische Nachten Van Stella"
"261","Pep ","1973","48"
"262","Losstaande Albums Van Bernhard Willem Holtrop ","1"," Billy The Kid"
"263","Knocky Magazine "," 2013 08 "," November"
"264","Suske En Wiske Weekblad ","2000","23"
"265","Kuifje Weekblad ","1972","13"
"266","Horatio Altuna ","0"," Loodgieter II"
"267","Losstaande Albums Van Edmond Baudoin ","42"," De Sponzenkoopman"
"268","Toppers In Strip ","34"," Kerstvertelling"
"269","Pokervrouw "," K05 "," Rechtstreeks Op De Antenne"
"270","Tarzan (Classics) ","119"," De Tovenaarsberg"
"271","Batman Classics ","106"," De Laatste Jet Naar Gotham"
"272","Pony Club ","253"," Nummer 253"
"273","Suske En Wiske Blauwe Reeks ","6"," De Gazanten Van Mars"
"274","Tibor, Zoon Van Het Oerwoud ","167"," Het Onmogelijke Spoor"
"275","Robbedoes Weekblad ","1992","2841"
"276","Heidi (De Vrijbuiter) "," B03 "," Reis Naar Het Geluk"
"277","Sjors ","1964","30"
"278","Karl May ","36"," De Wagenmaker"
"279","LeFranc ","4"," Het Hol Van De Wolf"
"280","Robbedoes Weekblad ","2000","3235"
"281","SjoSji Extra ","1996","23"
"282","Silvester Van Rochefort ","1"," Water En Bloed"
"283","Popeye "," F44 "," Het Gorillaleger Van De Zeeheks"
"284","Kuifje Weekblad ","1955","38"
"285","Penny ","1998","1"
"286","Babs ","1"," Het Geineiland"
"287","Donald Duck Extra "," 1999 03 "," Allemaal Sprookjes"
"288","Donald Duck ","1999","15"
"289","De As Van De Katharen ","1"," Helena"
"290","Van Nature Uit ","1"," Elke Dag Tegenslag"
"291","Largo Winch ","6"," Dutch Connection"
"292","Fantastic Four ","32"," Hoe Meer Er Verandert"
"293","ApocalypseMania ","3"," Global Underground"
"294","Suske En Wiske Weekblad ","1999","30"
"295","Robbedoes Weekblad ","1953","672"
"296","Superman & Batman Special ","11"," Eenzaam Aan De Top + Hacker + Het Netwerk Deel 1"
"297","Suske En Wiske De Gouden Collectie ","10"," De Ijzeren Schelvis"
"298","Jan, Jans En De Kinderen ","12"," Deel 12"
"299","Super Kuifje ","33"," Jungle"
"300","Lucifera ","15"," De Bekoring Van Pater Guaccio"
"301","Sloeber "," A05 "," De Brief"
"302","Pol ","6"," Pol In Het Land Van De Slaap"
"303","James Bond (Semic) ","4"," Liquideer Bond!"
"304","Pep ","1971","47"
"305","Korak De Zoon Van Tarzan ","19"," De Riviergeest"
"306","Kuifje Weekblad ","1980","50"
"307","Losstaande Albums Van Gerrit De Jager ","3"," Broodje Crisis"
"308","Sjors ","1958","39"
"309","Piloot Storm "," A01 "," Naar Valeran Ontvoerd"
"310","Sjors En Sjimmie Stripblad ","1994","2"
"311","Donald Duck Extra "," 2001 05 "," De Bruiloft Van Oom Dagobert"
"312","Sjors ","1974","2"
"313","Eppo ","1978","47"
"314","Samson & Gert Krant ","16"," Nummer 016"
"315","Klein Suske En Wiske ","15"," Beestenboel"
"316","Donald Duck ","1994","38"
"317","Sheriff Classics ","15"," Bazar Voor Een Waterpomp"
"318","Samson ","1"," Samson"
"319","Sjors ","1973","3"
"320","Cartoon Network Strip ","2"," Dexters Laboratory"
"321","Donald Duck ","1976","48"
"322","Tarzan (Classics) ","202"," De Moerassen Van Molok (Mist blz 21 tm 24)"
"323","Donald Duck ","2009","13"
"324","Sammy ","24"," Hoogspanning"
"325","Robbedoes Weekblad ","1949","495"
"326","Pecos Bill ","10"," De Grote Legende"
"327","Stripschrift ","347"," Nummer 347"
"328","Penthouse Comics Magazine ","37"," Deel 37"
"329","Murena ","4"," Voor Hen Die Gaan Sterven"
"330","Sjors ","1963","40"
"331","Suske En Wiske ","26"," De Bokkerijder (1956)"
"332","Eric De Noorman "," E01 "," De Jeugd Van Eric De Noorman 1 Tocht Naar Het Graf Van Eric De Veroveraar"
"333","Donald Duck Extra "," 2014 07 "," Land Onder Water"
"334","Lasso ","258"," De Mislukte Overval"
"335","Robbie ","38"," De Wielerwedstrijd"
"336","Lasso ","343"," Vechten Voor Een Toekomst"
"337","Betty & Dodge ","5"," Vermist In Madrid"
"338","Durfal "," A01 "," De Oorsprong Van Durfal"
"339","Zwarte Reeks ","105"," Telefoonsex"
"340","Pantser ","101"," Bliksemoffensief"
"341","Paling En Ko ","41"," De Beestenbrigade"
"342","Conan De Weg Der Koningen ","4"," Deel 4"
"343","W817 ","3"," Kakelende Cactus"
"344","Ambrosius ","6"," Blackstone"
"345","Sjors ","1974","5"
"346","De Avonturen Van Nero En Co ","70"," Papa Papoea"
"347","Michel Vaillant Stelt Voor Onuitgegeven Toppers ","1"," Terug Naar K�nigsfeld"
"348","Jurassic Park ","3"," Jurassic Park"
"349","Donald Duck ","1994","21"
"350","De Timoers ","21"," Het Zegel Van De Tempelier"
"351","Donald Duck ","1992","31"
"352","Sjors ","1957","4"
"353","Tarzan (Classics) ","50"," Op Zoek Naar Een Balu"
"354","Tibor, Zoon Van Het Oerwoud ","130"," Het Zwijghol"
"355","Losstaande Albums Van Will Eisner ","1"," Een Contract Met God"
"356","Tina ","1981","15"
"357","Andr� Van Duin ","1"," Andr� Van Duin"
"358","Korak De Zoon Van Tarzan "," B27 "," Elmo's Vuur"
"359","Losstaande Albums Van Hermann Huppen ","19"," Het Buitensporige Leven Van De Nylon Man"
"360","Donald Duck ","1999","20"
"361","Robbedoes Weekblad ","1994","2936"
"362","Wolverine ","54"," Dat Was Wat Het Niet Was"
"363","Robbedoes En Kwabbernoot "," B06 "," Paniek Op De Atlantische Oceaan"
"364","Robbedoes Weekblad ","1993","2873"
"365","Kronieken Van De Zwarte Maan ","1"," Het Teken Van Het Duister"
"366","SjoSji Extra ","1997","13"
"367","Zilverpijl ","6"," De Spaanse Ruiter"
"368","De Onnoembaren ","2"," Shukumei"
"369","Kuifje Weekblad ","1965","2"
"370","Robbedoes Weekblad ","1975"," 1957 (Verkleind)"
"371","Samson & Gert ","8"," Kermis Op Stelten"
"372","Victoria ","260"," De Vernietiging Tegemoet"
"373","Superman (Baldakijn) ","39"," Rampage + Een Chemisch Ongelukje"
"374","Mickey Maandblad ","1980","9"
"375","De Tien Geboden ","5"," De Wreker"
"376","Sindbad (De Vrijbuiter) ","8"," De Verdwenen Schat"
"377","Kuifje Weekblad ","1993","10"
"378","Paling En Ko "," A05 "," De Computer...Wat Een Ellende!"
"379","Thorgal ","10"," Het Land Q�"
"380","Griezel Classics ","4"," De Spin"
"381","Victoria ","96"," Duizend Doden Sterven"
"382","Conan ","8"," De Toren Van De Olifant"
"383","Het Kruis Van Cazenac ","2"," De Slapende Engel"
"384","De Partners ","6"," Gevaar!"
"385","Tibor, Zoon Van Het Oerwoud "," A55 "," Een Zeldzaam Tweegevecht"
"386","De Guitenstreken Van Kwik En Flupke "," C05 "," Ieder Op Zijn Beurt"
"387","Robbedoes Weekblad ","2005","3486"
"388","A Game Of Thrones ","2"," Boek 2"
"389","Kuifje Weekblad ","1977","32"
"390","Disneyland ","1973","11"
"391","De Bewaker Van De Lans ","5"," De Erfgenamen"
"392","Robbedoes Weekblad ","1987","2574"
"393","Robbedoes Weekblad ","1955","780"
"394","Donald Duck ","1967","38"
"395","Roze Bottel ","2"," De Luchtbel Van De Waarheid"
"396","Robbedoes Weekblad ","1966"," 1452 (Andere scan)"
"397","Flipke En De Rakkers "," A01 "," Flipke En De Rakkers"
"398","Bruce J. Hawker ","3"," Press Gang"
"399","Elise Linotte ","1"," 'De Denkende Krijgsman'"
"400","Tibor, Zoon Van Het Oerwoud ","36"," De Vluchteling"
"401","Kabouter Plop ","2"," Plop In De Wolken"
"402","Fantoom "," B01 "," Phantom, No. 1"
"403","Donald Duck ","1977","24"
"404","Bakelandt ","95"," De Bloedhonden Van Londen"
"405","Kleine Zondagsvriend ","1950","40"
"406","Robbedoes En Kwabbernoot "," B07 "," De Luipaardvrouw"
"407","Victoria ","23"," Duivelsnest"
"408","Donald Duck Specials ","7"," De Zwakke Schakel"
"409","Laurel En Hardy "," A07 "," Gloednieuwe Avonturen"
"410","Mickey Maandblad ","1985","1"
"411","MAD ","65"," Nr 065"
"412","Sjors ","1974","38"
"413","Blake En Mortimer ","4"," Het Mysterie Van De Grote Piramide Deel 1"
"414","Suske En Wiske ","229"," Tazuur en Tazijn"
"415","Suske En Wiske Weekblad ","2002","20"
"416","De Strijd Der Planeten "," A04 "," De Ruimtemieren"
"417","De Legende Der Dorre Gewesten ","2"," Het Land Der Mijmeringen"
"418","Eppo ","1976","1"
"419","Biggles "," P07 "," Biggles Presenteert Airfiles De Erfgenamen Van Guynemer"
"420","Robbedoes Weekblad ","1980","2225"
"421","Ythaq ","6"," Pionnen In Opstand"
"422","Kuifje "," C03 "," De Avonturen Van De 2CV En De Verschrikkelijke Sneeuwman"
"423","De Familie Kleester ","5"," Jungle Piraten"
"424","Extra Donald Duck "," 2014 04 "," Liefdesspecial"
"425","Muri�l En Schroefje ","1"," Een Spin Aan Het Plafond"
"426","De Katamarom ","5"," Het Spook Uit De Kosmos"
"427","Superman Classics ","62"," Duel Der Diamanten Demonen"
"428","Suske En Wiske HQ ","300"," Het Machtige Monument"
"429","Donald Duck Extra "," 2013 11 "," Het Gat In De Tuin"
"430","Karl May ","71"," Hertevoet"
"431","Robbedoes Weekblad ","1953","693"
"432","Gaaibaai ","1"," Foppe Is Niet Te Stuiten"
"433","De Wonderbaarlijke Spinneman ","8"," Het Einde Van De Groene Kabouter"
"434","Stripschrift ","280"," Nummer 280"
"435","Robbedoes Weekblad ","1983","2362"
"436","De Avonturen Van Nero En Co "," H37 "," Het Wonderwolkje (1960)"
"437","Doggyguard ","3"," Waarom Altijd Ik"
"438","Bessy Natuurkommando ","13"," El Condor Pasa"
"439","Super Boy ","5"," De Jacht Op De Kat"
"440","Kuifje Weekblad ","1978","15"
"441","Telekids Vakantieboeken ","4"," Vakantieboek 1997"
"442","Witte Termiet ","3"," Jacht Zonder Genade"
"443","Kuifje Weekblad ","1986","23"
"444","Kuifje Weekblad ","1958","18"
"445","Jommeke ","74"," De Kikiwikies"
"446","Vrouwen En Steden ","1"," Deel 01"
"447","TV2000 ","1967","52"
"448","Ducktales ","23"," Avontuur In De Oertijd"
"449","Walking Dead ","17"," Vrees Het Ergste"
"450","Zipi En Zapi "," S04 "," Kwajongensstreken"
"451","Robbedoes Weekblad ","1993","2875"
"452","Episode Editie ","3"," Dwars Door De Schaduw"
"453","Ducktales ","10"," Het Oog Van De Cycloop"
"454","Lasso ","357"," Alle Hoop Verloren"
"455","Sarah Spits ","18"," Een Jonge Masa�"
"456","Kuifje Weekblad ","1965","45"
"457","Mondria Cartoonreeks ","0"," Zwarte Humor & Mannen In Het Wit"
"458","Sprookjes In Beeld ","101"," Het Prinsesje En De Reus"
"459","Garfield ","23"," Garfield Is De Baas"
"460","Donald Duck ","1979","19"
"461","Sheriff King ","11"," Het Geheim Van De Rode Rotsen"
"462","Robbedoes Weekblad ","1992","2812"
"463","Carthago ","2"," Challanger Deep"
"464","De Avonturen Van Kapitein Rob ","21"," De Aanslag Op De Vliehors (1951)"
"465","Star Wars "," J22 "," De Derde Wet!"
"466","Tom & Jerry (De Vrijbuiter) "," A180 "," Nummer 180"
"467","Beeldromance ","142"," De Onbekende Schone"
"468","Suske En Wiske ","83"," De Straatridder"
"469","Robbedoes Weekblad ","1982","2311"
"470","Robert En Bertrand ","1"," Mysterie Op Rozendael"
"471","God ","1"," Met De Dood Op Het Lijf"
"472","De Smurfen ","10"," Smurfensoep"
"473","Losstaande Albums Van Hugo Pratt ","10"," Ten Westen Van Eden"
"474","Robbedoes Weekblad ","1965","1408"
"475","Donald Duck ","1988","10"
"476","Penny Plus ","2003","3"
"477","Rooie Oortjes ","35"," Deel 35"
"478","Jonathan ","9"," Neal En Sylvester"
"479","De Onaantastbaren ","2"," Het Meisje In De Kooi"
"480","Rooie Oortjes ","42"," Deel 42"
"481","Stam & Pilou ","5"," De Bloed Broeders"
"482","Donald Duck ","9"," Als Kangoeroe"
"483","New Teen Titans ","10"," Het Judas Kontrakt"
"484","Laurel En Hardy ","180"," Het Dwaze Duo Moet Een Oude Man Verplegen!"
"485","Wipperoen ","1"," Wipperoen En De Babbeloezer"
"486","Joop Klepzeiker ","16"," Kleppie En Sjonnie"
"487","Robert En Bertrand ","87"," Leer Om Leer"
"488","Sam Lawry ","2"," Het Oog Van Ka�n"
"489","Bob Morane ","45"," De Tanden Van De Tijger Deel 1"
"490","Kit Carson ","61"," De Legende Van Grizzly Hollow"
"491","Robbedoes Weekblad ","1962","1278"
"492","Gloriande Van Themines ","1"," Gloriande Van Themines"
"493","Lucky Luke ","20"," Billy The Kid"
"494","De Avonturen Van Donald Duck ","45"," De Grappigste Avonturen Van Donald Duck Nr 45"
"495","John Difool ","3"," De Benedenwereld (1983)"
"496","Stripschrift ","100"," Nummer 100"
"497","Robbedoes Weekblad ","1961"," 1207 (NL)"
"498","Napoleon Solo, De Man Van U.N.C.L.E. ","7"," Puzzel Des Doods"
"499","Ohee! Weekblad ","470"," Moby Dick"
"500","Lucifera ","22"," Het Goede Doet Me Pijn"
"501","Binkie ","23"," Binkie Versiert 't Weer...!"
"502","Berlijn ","2"," Rook"
"503","Kuifje Weekblad ","1975","51"
"504","Perico ","1"," Boek 01"
"505","Sjors En Sjimmie Extra ","1994","2"
"506","Asterix "," S13 "," Asterix En Zijn Vrienden"
"507","Pep ","1970","4"
"508","The Cool Bros ","1"," Het Merkwaardige Ei"
"509","De Familie Kleester ","2"," Bloedsporen Op Ivoor"
"510","Iznogoedh ","3"," De Vakantie Van De Kalief"
"511","Kuifje Weekblad ","1955","18"
"512","Tex Willer ","106"," Santa Cruz"
"513","Jommeke ","161"," Drie Toverstokjes"
"514","Arq ","15"," Maan"
"515","De Stripspeciaalzaak ","48"," Nummer 48"
"516","Heinz ","14"," Hij Wel"
"517","Superman (Baldakijn) ","102"," Ware Helden"
"518","Sjors En Sjimmie Extra ","1989","11"
"519","De Flintstones "," Z02 "," De Brontosaurus"
"520","Woody Woodpecker (Semic Press) ","67"," Deel 67"
"521","Violine ","3"," De Ijzeren Klauw"
"522","Stripschrift ","295"," Nummer 295"
"523","Eric De Noorman ","35"," De Koningin Van De Eilanden"
"524","Popeye "," F16 "," Wees Lief Voor Elkaar!"
